pl_hostname,ra,dec
Kepler-129,285.311279,47.848595
Kepler-194,291.971436,47.864174
Kepler-194,291.971436,47.864174
Kepler-194,291.971436,47.864174
Kepler-226,292.376129,47.880989
Kepler-226,292.376129,47.880989
Kepler-226,292.376129,47.880989
Kepler-22,289.217499,47.884464
Kepler-369,293.674225,47.908466
Kepler-369,293.674225,47.908466
Kepler-195,288.120972,47.966667
Kepler-195,288.120972,47.966667
HAT-P-7,292.247314,47.969513
HAT-P-3,206.094110,48.028670
Kepler-117,288.793030,48.040234
Kepler-117,288.793030,48.040234
Kepler-285,291.390900,48.065609
Kepler-285,291.390900,48.065609
HAT-P-11,297.709351,48.080856
Kepler-375,288.617920,48.098415
Kepler-375,288.617920,48.098415
Kepler-227,291.934235,48.141651
Kepler-227,291.934235,48.141651
Kepler-107,297.028259,48.208611
Kepler-107,297.028259,48.208611
Kepler-107,297.028259,48.208611
Kepler-107,297.028259,48.208611
Kepler-228,296.286133,48.224667
Kepler-228,296.286133,48.224667
Kepler-228,296.286133,48.224667
Kepler-6,296.837250,48.239964
Kepler-414,297.961578,48.244362
Kepler-414,297.961578,48.244362
Kepler-153,282.460510,48.257118
Kepler-153,282.460510,48.257118
Kepler-358,293.230225,48.281376
Kepler-358,293.230225,48.281376
Kepler-432,293.282196,48.285900
Kepler-432,293.282196,48.285900
Kepler-286,290.676147,48.294289
Kepler-286,290.676147,48.294289
Kepler-286,290.676147,48.294289
Kepler-286,290.676147,48.294289
Kepler-133,297.277985,48.320328
Kepler-133,297.277985,48.320328
Kepler-114,294.121429,48.349525
Kepler-114,294.121429,48.349525
Kepler-114,294.121429,48.349525
Kepler-101,283.255493,48.355228
Kepler-101,283.255493,48.355228
Kepler-229,286.999481,48.375797
Kepler-229,286.999481,48.375797
Kepler-229,286.999481,48.375797
Kepler-408,284.786163,48.423233
Kepler-287,290.927460,48.443550
Kepler-287,290.927460,48.443550
Kepler-339,293.351715,48.444641
Kepler-339,293.351715,48.444641
Kepler-339,293.351715,48.444641
Kepler-142,295.118896,48.481281
Kepler-142,295.118896,48.481281
Kepler-142,295.118896,48.481281
Kepler-230,285.718536,48.505859
Kepler-230,285.718536,48.505859
Kepler-447,285.268585,48.560013
Kepler-424,298.624878,48.577454
Kepler-424,298.624878,48.577454
Kepler-299,283.206970,48.580502
Kepler-299,283.206970,48.580502
Kepler-299,283.206970,48.580502
Kepler-299,283.206970,48.580502
Kepler-300,295.288696,48.599720
Kepler-300,295.288696,48.599720
Kepler-110,292.929138,48.602814
Kepler-110,292.929138,48.602814
Kepler-97,287.326630,48.673431
Kepler-97,287.326630,48.673431
Kepler-386,289.858856,48.693855
Kepler-386,289.858856,48.693855
Kepler-380,282.394623,48.759140
Kepler-380,282.394623,48.759140
Kepler-313,298.294922,48.775459
Kepler-313,298.294922,48.775459
Kepler-297,283.209167,48.777645
Kepler-297,283.209167,48.777645
Kepler-298,283.039795,48.825359
Kepler-298,283.039795,48.825359
Kepler-298,283.039795,48.825359
Kepler-166,293.160156,48.881191
Kepler-166,293.160156,48.881191
Kepler-396,296.132812,48.977402
Kepler-396,296.132812,48.977402
HD 222155,354.501282,48.996521
Kepler-441,284.566895,49.012547
Kepler-68,291.032318,49.040272
Kepler-68,291.032318,49.040272
Kepler-68,291.032318,49.040272
Kepler-124,286.752808,49.064911
Kepler-124,286.752808,49.064911
Kepler-124,286.752808,49.064911
Kepler-366,296.852051,49.084446
Kepler-366,296.852051,49.084446
Kepler-365,295.626587,49.130436
Kepler-365,295.626587,49.130436
Kepler-15,296.200592,49.140125
Kepler-36,291.250183,49.231827
Kepler-36,291.250183,49.231827
Kepler-301,283.982971,49.232990
Kepler-301,283.982971,49.232990
Kepler-301,283.982971,49.232990
Kepler-372,291.256195,49.258953
Kepler-372,291.256195,49.258953
Kepler-372,291.256195,49.258953
KOI-351,284.433502,49.305161
KOI-351,284.433502,49.305161
KOI-351,284.433502,49.305161
KOI-351,284.433502,49.305161
KOI-351,284.433502,49.305161
KOI-351,284.433502,49.305161
KOI-351,284.433502,49.305161
Kepler-347,289.199585,49.305717
Kepler-347,289.199585,49.305717
TrES-2,286.808477,49.316407
Kepler-143,298.067719,49.412605
Kepler-143,298.067719,49.412605
Kepler-296,286.540009,49.437325
Kepler-296,286.540009,49.437325
Kepler-296,286.540009,49.437325
Kepler-296,286.540009,49.437325
Kepler-296,286.540009,49.437325
Kepler-426,289.434631,49.473400
Kepler-23,294.218933,49.479225
Kepler-23,294.218933,49.479225
Kepler-23,294.218933,49.479225
Kepler-411,287.605591,49.523262
Kepler-63,289.226166,49.548203
Kepler-430,292.808624,49.579445
Kepler-430,292.808624,49.579445
BD+48 738,40.710224,49.586960
Kepler-134,284.739014,49.598396
Kepler-134,284.739014,49.598396
Kepler-407,286.036346,49.614506
Kepler-407,286.036346,49.614506
Kepler-324,286.471466,49.649021
Kepler-324,286.471466,49.649021
HD 17092,41.592153,49.653075
BD+49 828,45.640530,49.730011
Kepler-180,295.571350,49.774586
Kepler-180,295.571350,49.774586
Kepler-325,289.835449,49.825626
Kepler-325,289.835449,49.825626
Kepler-325,289.835449,49.825626
Kepler-154,289.780518,49.896530
Kepler-154,289.780518,49.896530
Kepler-51,296.479767,49.937683
Kepler-51,296.479767,49.937683
Kepler-51,296.479767,49.937683
Kepler-443,288.610535,49.968632
Kepler-52,286.738037,49.975750
Kepler-52,286.738037,49.975750
Kepler-52,286.738037,49.975750
Kepler-367,297.292419,49.981632
Kepler-367,297.292419,49.981632
Kepler-50,288.100861,50.033718
Kepler-50,288.100861,50.033718
Kepler-12,286.243439,50.040382
Kepler-181,296.151398,50.095806
Kepler-181,296.151398,50.095806
HAT-P-22,155.681717,50.128345
Kepler-4,285.615326,50.135754
XO-2 S,117.031174,50.217556
XO-2 S,117.031174,50.217556
XO-2 N,117.026951,50.225815
Kepler-10,285.679382,50.241299
Kepler-10,285.679382,50.241299
Kepler-385,294.338470,50.336544
Kepler-385,294.338470,50.336544
16 Cyg B,295.466553,50.517525
Kepler-231,293.973358,50.531914
Kepler-231,293.973358,50.531914
Kepler-197,295.226440,50.559006
Kepler-197,295.226440,50.559006
Kepler-197,295.226440,50.559006
Kepler-197,295.226440,50.559006
Kepler-182,289.830109,50.586246
Kepler-182,289.830109,50.586246
Kepler-373,289.388000,50.597050
Kepler-373,289.388000,50.597050
HD 80606,140.656540,50.603722
Kepler-394,296.301941,50.672318
Kepler-394,296.301941,50.672318
Kepler-401,290.082764,50.863483
Kepler-401,290.082764,50.863483
Kepler-113,287.997894,50.944332
Kepler-113,287.997894,50.944332
Kepler-450,295.486511,51.013500
Kepler-450,295.486511,51.013500
Kepler-450,295.486511,51.013500
Kepler-391,290.621826,51.057304
Kepler-391,290.621826,51.057304
Kepler-155,288.495819,51.081947
Kepler-155,288.495819,51.081947
Kepler-232,295.816162,51.121742
Kepler-232,295.816162,51.121742
KOI-7522,288.510620,51.162472
Kepler-419,295.417908,51.184765
Kepler-419,295.417908,51.184765
HAT-P-37,284.296051,51.269138
Kepler-233,296.366516,51.319523
Kepler-233,296.366516,51.319523
Kepler-16,289.075714,51.757439
HAT-P-29,33.131142,51.778759
PH2,289.763580,51.962601
HD 132406,224.227707,53.382168
HD 233604,137.453384,53.568230
HD 118203,203.510574,53.728531
HD 139357,233.817490,53.922142
HD 167042,272.631836,54.286552
HD 2952,8.293311,54.894985
WASP-48,291.162323,55.473160
HD 163607,268.418732,56.391956
HD 163607,268.418732,56.391956
HD 219415,348.724274,56.730328
HD 240210,347.621792,57.029456
HD 102956,177.843796,57.640736
XO-3,65.469582,57.817181
HD 240237,348.925934,58.043240
6 Lyn,97.696281,58.162632
XO-4,110.388222,58.268108
HIP 75458,231.232391,58.966064
TrES-5,305.221832,59.448788
omi UMa,127.566124,60.718170
HD 68988,124.592384,61.460724
HIP 91258,279.221466,61.702503
HD 220074,350.059906,61.970127
HD 156279,258.096680,63.352093
HD 113337,195.445526,63.610226
4 UMa,130.053406,64.327934
Qatar-1,303.381683,65.162041
42 Dra,276.496399,65.563484
HD 13908,34.560665,65.594360
HD 13908,34.560665,65.594360
GJ 687,264.107910,68.339142
HD 32518,77.403000,69.639404
HD 17156,42.435364,71.753235
11 UMi,229.274536,71.823898
bet UMi,222.676361,74.155502
HD 109246,188.029953,74.489548
HD 7924,20.496313,76.710281
HD 7924,20.496313,76.710281
HD 7924,20.496313,76.710281
HD 104985,181.312988,76.905731
gam Cep,354.836884,77.632278
HD 120084,205.663345,78.064438
HD 33564,80.639717,79.231148
HD 150706,247.823273,79.789772
